date,correlation_36m,n,as_of
2002-12,-0.0161,36,2026-07
2003-01,-0.0211,36,2026-07
2003-02,-0.0132,36,2026-07
2003-03,0.0008,36,2026-07
2003-04,0.0531,36,2026-07
2003-05,0.1334,36,2026-07
2003-06,0.131,36,2026-07
2003-07,0.1191,36,2026-07
2003-08,0.1023,36,2026-07
2003-09,0.0733,36,2026-07
2003-10,0.1113,36,2026-07
2003-11,0.1287,36,2026-07
2003-12,0.1601,36,2026-07
2004-01,0.1545,36,2026-07
2004-02,0.1882,36,2026-07
2004-03,0.2192,36,2026-07
2004-04,0.2884,36,2026-07
2004-05,0.2708,36,2026-07
2004-06,0.2536,36,2026-07
2004-07,0.2713,36,2026-07
2004-08,0.3043,36,2026-07
2004-09,0.2771,36,2026-07
2004-10,0.2743,36,2026-07
2004-11,0.3834,36,2026-07
2004-12,0.3904,36,2026-07
2005-01,0.3962,36,2026-07
2005-02,0.3898,36,2026-07
2005-03,0.39,36,2026-07
2005-04,0.3916,36,2026-07
2005-05,0.3908,36,2026-07
2005-06,0.3986,36,2026-07
2005-07,0.3688,36,2026-07
2005-08,0.3708,36,2026-07
2005-09,0.3597,36,2026-07
2005-10,0.4988,36,2026-07
2005-11,0.5244,36,2026-07
2005-12,0.6388,36,2026-07
2006-01,0.7025,36,2026-07
2006-02,0.7232,36,2026-07
2006-03,0.7364,36,2026-07
2006-04,0.7557,36,2026-07
2006-05,0.7478,36,2026-07
2006-06,0.7437,36,2026-07
2006-07,0.7503,36,2026-07
2006-08,0.7452,36,2026-07
2006-09,0.7473,36,2026-07
2006-10,0.7403,36,2026-07
2006-11,0.7404,36,2026-07
2006-12,0.7271,36,2026-07
2007-01,0.725,36,2026-07
2007-02,0.7121,36,2026-07
2007-03,0.7193,36,2026-07
2007-04,0.7174,36,2026-07
2007-05,0.7506,36,2026-07
2007-06,0.7523,36,2026-07
2007-07,0.723,36,2026-07
2007-08,0.6491,36,2026-07
2007-09,0.6626,36,2026-07
2007-10,0.6446,36,2026-07
2007-11,0.6422,36,2026-07
2007-12,0.6422,36,2026-07
2008-01,0.6732,36,2026-07
2008-02,0.6169,36,2026-07
2008-03,0.5898,36,2026-07
2008-04,0.5442,36,2026-07
2008-05,0.5552,36,2026-07
2008-06,0.5616,36,2026-07
2008-07,0.5426,36,2026-07
2008-08,0.5247,36,2026-07
2008-09,0.6524,36,2026-07
2008-10,0.7402,36,2026-07
2008-11,0.7484,36,2026-07
2008-12,0.7483,36,2026-07
2009-01,0.6715,36,2026-07
2009-02,0.6479,36,2026-07
2009-03,0.6296,36,2026-07
2009-04,0.654,36,2026-07
2009-05,0.6663,36,2026-07
2009-06,0.6704,36,2026-07
2009-07,0.6908,36,2026-07
2009-08,0.6961,36,2026-07
2009-09,0.7055,36,2026-07
2009-10,0.7043,36,2026-07
2009-11,0.7041,36,2026-07
2009-12,0.704,36,2026-07
2010-01,0.7025,36,2026-07
2010-02,0.7018,36,2026-07
2010-03,0.7088,36,2026-07
2010-04,0.7051,36,2026-07
2010-05,0.7147,36,2026-07
2010-06,0.7209,36,2026-07
2010-07,0.7155,36,2026-07
2010-08,0.732,36,2026-07
2010-09,0.738,36,2026-07
2010-10,0.7475,36,2026-07
2010-11,0.7444,36,2026-07
2010-12,0.7516,36,2026-07
2011-01,0.7453,36,2026-07
2011-02,0.7604,36,2026-07
2011-03,0.7706,36,2026-07
2011-04,0.7771,36,2026-07
2011-05,0.778,36,2026-07
2011-06,0.7839,36,2026-07
2011-07,0.7933,36,2026-07
2011-08,0.8034,36,2026-07
2011-09,0.8147,36,2026-07
2011-10,0.748,36,2026-07
2011-11,0.7274,36,2026-07
2011-12,0.7268,36,2026-07
2012-01,0.7944,36,2026-07
2012-02,0.8204,36,2026-07
2012-03,0.8421,36,2026-07
