id,year,months,partial,cy_return,as_of
iCRD,2000,12,0,0.131697,2026-06
iCRD,2001,12,0,0.145819,2026-06
iCRD,2002,12,0,0.07089,2026-06
iCRD,2003,12,0,0.226199,2026-06
iCRD,2004,12,0,0.1405,2026-06
iCRD,2005,12,0,0.103389,2026-06
iCRD,2006,12,0,0.145671,2026-06
iCRD,2007,12,0,0.118295,2026-06
iCRD,2008,12,0,-0.165915,2026-06
iCRD,2009,12,0,0.38138,2026-06
iCRD,2010,12,0,0.157444,2026-06
iCRD,2011,12,0,0.013307,2026-06
iCRD,2012,12,0,0.139219,2026-06
iCRD,2013,12,0,0.125328,2026-06
iCRD,2014,12,0,0.047759,2026-06
iCRD,2015,12,0,-0.013165,2026-06
iCRD,2016,12,0,0.097057,2026-06
iCRD,2017,12,0,0.077426,2026-06
iCRD,2018,12,0,0.011343,2026-06
iCRD,2019,12,0,0.043323,2026-06
iCRD,2020,12,0,0.05382,2026-06
iCRD,2021,12,0,0.10775,2026-06
iCRD,2022,12,0,0.00453,2026-06
iCRD,2023,12,0,0.08473,2026-06
iCRD,2024,12,0,0.10609,2026-06
iCRD,2025,12,0,0.07792,2026-06
iCRD,2026,6,1,0.034771,2026-06
iEQD,2000,12,0,0.135992,2026-06
iEQD,2001,12,0,0.127771,2026-06
iEQD,2002,12,0,0.009214,2026-06
iEQD,2003,12,0,0.255591,2026-06
iEQD,2004,12,0,0.13276,2026-06
iEQD,2005,12,0,0.168095,2026-06
iEQD,2006,12,0,0.15798,2026-06
iEQD,2007,12,0,0.199137,2026-06
iEQD,2008,12,0,-0.163784,2026-06
iEQD,2009,12,0,0.299864,2026-06
iEQD,2010,12,0,0.118738,2026-06
iEQD,2011,12,0,-0.002831,2026-06
iEQD,2012,12,0,0.124696,2026-06
iEQD,2013,12,0,0.20132,2026-06
iEQD,2014,12,0,0.058274,2026-06
iEQD,2015,12,0,0.043411,2026-06
iEQD,2016,12,0,0.022265,2026-06
iEQD,2017,12,0,0.11517,2026-06
iEQD,2018,12,0,-0.048136,2026-06
iEQD,2019,12,0,0.125982,2026-06
iEQD,2020,12,0,0.134415,2026-06
iEQD,2021,12,0,0.09336,2026-06
iEQD,2022,12,0,-0.070314,2026-06
iEQD,2023,12,0,0.110187,2026-06
iEQD,2024,12,0,0.126372,2026-06
iEQD,2025,12,0,0.158458,2026-06
iEQD,2026,6,1,0.087771,2026-06
iEQS,2000,12,0,0.5756,2026-06
iEQS,2001,12,0,0.239164,2026-06
iEQS,2002,12,0,0.017783,2026-06
iEQS,2003,12,0,0.213016,2026-06
iEQS,2004,12,0,0.10825,2026-06
iEQS,2005,12,0,0.153148,2026-06
iEQS,2006,12,0,0.194691,2026-06
iEQS,2007,12,0,0.162158,2026-06
iEQS,2008,12,0,-0.158532,2026-06
iEQS,2009,12,0,0.277891,2026-06
iEQS,2010,12,0,0.146082,2026-06
iEQS,2011,12,0,0.032732,2026-06
iEQS,2012,12,0,0.117089,2026-06
iEQS,2013,12,0,0.27151,2026-06
iEQS,2014,12,0,0.123904,2026-06
iEQS,2015,12,0,0.072768,2026-06
iEQS,2016,12,0,0.03865,2026-06
iEQS,2017,12,0,0.149325,2026-06
iEQS,2018,12,0,0.007277,2026-06
iEQS,2019,12,0,0.166051,2026-06
iEQS,2020,12,0,0.249697,2026-06
iEQS,2021,12,0,0.006665,2026-06
iEQS,2022,12,0,-0.146143,2026-06
iEQS,2023,12,0,0.14961,2026-06
iEQS,2024,12,0,0.149432,2026-06
iEQS,2025,12,0,0.245248,2026-06
iEQS,2026,6,1,0.164704,2026-06
iEVD,2000,12,0,0.143695,2026-06
iEVD,2001,12,0,0.142652,2026-06
iEVD,2002,12,0,0.001594,2026-06
iEVD,2003,12,0,0.323824,2026-06
iEVD,2004,12,0,0.204524,2026-06
iEVD,2005,12,0,0.078608,2026-06
iEVD,2006,12,0,0.151497,2026-06
iEVD,2007,12,0,0.184199,2026-06
iEVD,2008,12,0,-0.202329,2026-06
iEVD,2009,12,0,0.366467,2026-06
iEVD,2010,12,0,0.130163,2026-06
iEVD,2011,12,0,-0.052564,2026-06
iEVD,2012,12,0,0.123349,2026-06
iEVD,2013,12,0,0.181949,2026-06
iEVD,2014,12,0,0.038821,2026-06
iEVD,2015,12,0,-0.015578,2026-06
iEVD,2016,12,0,0.06037,2026-06
iEVD,2017,12,0,0.101155,2026-06
iEVD,2018,12,0,-0.025384,2026-06
iEVD,2019,12,0,0.100893,2026-06
iEVD,2020,12,0,0.160501,2026-06
iEVD,2021,12,0,0.104552,2026-06
iEVD,2022,12,0,-0.052931,2026-06
iEVD,2023,12,0,0.072079,2026-06
iEVD,2024,12,0,0.105199,2026-06
iEVD,2025,12,0,0.13229,2026-06
iEVD,2026,6,1,0.081698,2026-06
iGBM,2000,12,0,0.041281,2026-06
iGBM,2001,12,0,0.166123,2026-06
iGBM,2002,12,0,0.226199,2026-06
iGBM,2003,12,0,0.192717,2026-06
iGBM,2004,12,0,0.071521,2026-06
iGBM,2005,12,0,0.065081,2026-06
iGBM,2006,12,0,0.078544,2026-06
iGBM,2007,12,0,0.085218,2026-06
iGBM,2008,12,0,0.049021,2026-06
iGBM,2009,12,0,0.15996,2026-06
iGBM,2010,12,0,0.155773,2026-06
iGBM,2011,12,0,0.041602,2026-06
iGBM,2012,12,0,0.069547,2026-06
iGBM,2013,12,0,0.079571,2026-06
iGBM,2014,12,0,0.094649,2026-06
iGBM,2015,12,0,0.02331,2026-06
iGBM,2016,12,0,0.050941,2026-06
iGBM,2017,12,0,0.009315,2026-06
iGBM,2018,12,0,-0.019603,2026-06
iGBM,2019,12,0,0.055612,2026-06
iGBM,2020,12,0,0.048661,2026-06
iGBM,2021,12,0,0.043456,2026-06
iGBM,2022,12,0,0.114824,2026-06
iGBM,2023,12,0,0.011216,2026-06
iGBM,2024,12,0,0.063705,2026-06
iGBM,2025,12,0,0.097973,2026-06
iGBM,2026,6,1,0.045386,2026-06
iHFC,2000,12,0,0.160364,2026-06
iHFC,2001,12,0,0.142184,2026-06
iHFC,2002,12,0,0.094524,2026-06
iHFC,2003,12,0,0.20323,2026-06
iHFC,2004,12,0,0.111431,2026-06
iHFC,2005,12,0,0.10887,2026-06
iHFC,2006,12,0,0.144335,2026-06
iHFC,2007,12,0,0.15448,2026-06
iHFC,2008,12,0,-0.105414,2026-06
iHFC,2009,12,0,0.27169,2026-06
iHFC,2010,12,0,0.135253,2026-06
iHFC,2011,12,0,0.011638,2026-06
iHFC,2012,12,0,0.107446,2026-06
iHFC,2013,12,0,0.147296,2026-06
iHFC,2014,12,0,0.070368,2026-06
iHFC,2015,12,0,0.024553,2026-06
iHFC,2016,12,0,0.049734,2026-06
iHFC,2017,12,0,0.079789,2026-06
iHFC,2018,12,0,-0.016141,2026-06
iHFC,2019,12,0,0.089596,2026-06
iHFC,2020,12,0,0.11365,2026-06
iHFC,2021,12,0,0.077572,2026-06
iHFC,2022,12,0,-0.010789,2026-06
iHFC,2023,12,0,0.076039,2026-06
iHFC,2024,12,0,0.1061,2026-06
iHFC,2025,12,0,0.119743,2026-06
iHFC,2026,6,1,0.073019,2026-06
iMFT,2000,12,0,0.163926,2026-06
iMFT,2001,12,0,0.117523,2026-06
iMFT,2002,12,0,0.258946,2026-06
iMFT,2003,12,0,0.120192,2026-06
iMFT,2004,12,0,0.058799,2026-06
iMFT,2005,12,0,0.038685,2026-06
iMFT,2006,12,0,0.109303,2026-06
iMFT,2007,12,0,0.159701,2026-06
iMFT,2008,12,0,0.265212,2026-06
iMFT,2009,12,0,-0.025359,2026-06
iMFT,2010,12,0,0.124225,2026-06
iMFT,2011,12,0,0.023519,2026-06
iMFT,2012,12,0,-0.019266,2026-06
iMFT,2013,12,0,0.02713,2026-06
iMFT,2014,12,0,0.184977,2026-06
iMFT,2015,12,0,0.024578,2026-06
iMFT,2016,12,0,0.005978,2026-06
iMFT,2017,12,0,0.017456,2026-06
iMFT,2018,12,0,-0.037406,2026-06
iMFT,2019,12,0,0.071269,2026-06
iMFT,2020,12,0,0.012112,2026-06
iMFT,2021,12,0,0.088474,2026-06
iMFT,2022,12,0,0.147026,2026-06
iMFT,2023,12,0,-0.021743,2026-06
iMFT,2024,12,0,0.029667,2026-06
iMFT,2025,12,0,-0.010374,2026-06
iMFT,2026,6,1,0.071171,2026-06
iMST,2000,12,0,0.227263,2026-06
iMST,2001,12,0,0.120112,2026-06
iMST,2002,12,0,0.051401,2026-06
iMST,2003,12,0,0.158558,2026-06
iMST,2004,12,0,0.098397,2026-06
iMST,2005,12,0,0.107499,2026-06
iMST,2006,12,0,0.1717,2026-06
iMST,2007,12,0,0.169617,2026-06
iMST,2008,12,0,-0.130392,2026-06
iMST,2009,12,0,0.295206,2026-06
iMST,2010,12,0,0.124792,2026-06
iMST,2011,12,0,0.019662,2026-06
iMST,2012,12,0,0.113053,2026-06
iMST,2013,12,0,0.124188,2026-06
iMST,2014,12,0,0.04399,2026-06
iMST,2015,12,0,0.027044,2026-06
iMST,2016,12,0,0.048062,2026-06
iMST,2017,12,0,0.068256,2026-06
iMST,2018,12,0,0.007858,2026-06
iMST,2019,12,0,0.074687,2026-06
iMST,2020,12,0,0.129432,2026-06
iMST,2021,12,0,0.09194,2026-06
iMST,2022,12,0,0.018173,2026-06
iMST,2023,12,0,0.05947,2026-06
iMST,2024,12,0,0.113297,2026-06
iMST,2025,12,0,0.107068,2026-06
iMST,2026,6,1,0.064732,2026-06
iQNT,2003,12,0,0.037381,2026-06
iQNT,2004,12,0,0.054286,2026-06
iQNT,2005,12,0,0.090466,2026-06
iQNT,2006,12,0,0.067837,2026-06
iQNT,2007,12,0,0.006929,2026-06
iQNT,2008,12,0,-0.114553,2026-06
iQNT,2009,12,0,0.043198,2026-06
iQNT,2010,12,0,0.122399,2026-06
iQNT,2011,12,0,0.167448,2026-06
iQNT,2012,12,0,0.077118,2026-06
iQNT,2013,12,0,0.147772,2026-06
iQNT,2014,12,0,0.097781,2026-06
iQNT,2015,12,0,0.092607,2026-06
iQNT,2016,12,0,0.041209,2026-06
iQNT,2017,12,0,0.07586,2026-06
iQNT,2018,12,0,-0.00525,2026-06
iQNT,2019,12,0,0.000784,2026-06
iQNT,2020,12,0,-0.04595,2026-06
iQNT,2021,12,0,0.147099,2026-06
iQNT,2022,12,0,0.060247,2026-06
iQNT,2023,12,0,0.075723,2026-06
iQNT,2024,12,0,0.145228,2026-06
iQNT,2025,12,0,0.089079,2026-06
iQNT,2026,6,1,0.016843,2026-06
iVOL,2000,12,0,0.496826,2026-06
iVOL,2001,12,0,0.14013,2026-06
iVOL,2002,12,0,0.093017,2026-06
iVOL,2003,12,0,0.155481,2026-06
iVOL,2004,12,0,0.12993,2026-06
iVOL,2005,12,0,0.173037,2026-06
iVOL,2006,12,0,0.067363,2026-06
iVOL,2007,12,0,0.201939,2026-06
iVOL,2008,12,0,0.174603,2026-06
iVOL,2009,12,0,0.031851,2026-06
iVOL,2010,12,0,0.026428,2026-06
iVOL,2011,12,0,0.086244,2026-06
iVOL,2012,12,0,0.052479,2026-06
iVOL,2013,12,0,-0.00517,2026-06
iVOL,2014,12,0,0.025376,2026-06
iVOL,2015,12,0,0.097664,2026-06
iVOL,2016,12,0,0.064255,2026-06
iVOL,2017,12,0,0.001391,2026-06
iVOL,2018,12,0,0.013282,2026-06
iVOL,2019,12,0,0.022424,2026-06
iVOL,2020,12,0,0.098757,2026-06
iVOL,2021,12,0,0.002048,2026-06
iVOL,2022,12,0,0.093202,2026-06
iVOL,2023,12,0,0.009101,2026-06
iVOL,2024,12,0,0.026998,2026-06
iVOL,2025,12,0,0.043859,2026-06
iVOL,2026,6,1,0.039407,2026-06
SP500TR,2000,12,0,-0.090873,2026-06
SP500TR,2001,12,0,-0.118827,2026-06
SP500TR,2002,12,0,-0.220979,2026-06
SP500TR,2003,12,0,0.286907,2026-06
SP500TR,2004,12,0,0.108727,2026-06
SP500TR,2005,12,0,0.048914,2026-06
SP500TR,2006,12,0,0.157939,2026-06
SP500TR,2007,12,0,0.054968,2026-06
SP500TR,2008,12,0,-0.369947,2026-06
SP500TR,2009,12,0,0.264474,2026-06
SP500TR,2010,12,0,0.150626,2026-06
SP500TR,2011,12,0,0.021177,2026-06
SP500TR,2012,12,0,0.159811,2026-06
SP500TR,2013,12,0,0.324082,2026-06
SP500TR,2014,12,0,0.136897,2026-06
SP500TR,2015,12,0,0.014075,2026-06
SP500TR,2016,12,0,0.119813,2026-06
SP500TR,2017,12,0,0.218437,2026-06
SP500TR,2018,12,0,-0.043839,2026-06
SP500TR,2019,12,0,0.315032,2026-06
SP500TR,2020,12,0,0.18402,2026-06
SP500TR,2021,12,0,0.287214,2026-06
SP500TR,2022,12,0,-0.18101,2026-06
SP500TR,2023,12,0,0.262713,2026-06
SP500TR,2024,12,0,0.250473,2026-06
SP500TR,2025,12,0,0.17885,2026-06
SP500TR,2026,6,1,0.102033,2026-06
