id,name,abstract
iHFCEW,PivotalPath Composite EW Index,"The PivotalPath Equal Weighted Composite Hedge Fund Index is a global, equal-weighted index tracking over 1,300 institutional quality funds, spanning more than $2.3tn in AUM, covered by firm research. The constituent funds report monthly performance, net of all fees, in USD.  The index is rebalanced monthly, and the constituents are determined on an annual frequency (at the end of each calendar year).  The Index is representative of hedge fund performance across all strategies and geographies with a minimum fund track record of 18 months and a minimum fund AUM of $50mm."
iCRDCBA,PivotalPath Credit:Convertible Bond Arbitrage Index,"The PivotalPath Credit: Convertible Bond Arbitrage Hedge Fund Index is an equal weighted index which comprises funds that employ an arbitrage approach to investing in the convertible bond market. The Index tracks the monthly performance, net of all fees in USD, of its constituents with a minimum fund track record of 18 months and a minimum fund AUM of $50mm. The constituents are fixed at the end each calendar year for the following calendar year."
iCRDDSS,PivotalPath Credit:Distressed Index,"The PivotalPath Credit: Distressed Hedge Fund Index is an equal weighted index which comprises funds that typically buy suffering companies utilizing equity, sometimes purchasing them before an expected bankruptcy, and other times during the bankruptcy process with the goal of gaining a controlling position. The Index tracks the monthly performance, net of all fees in USD, of its constituents with a minimum fund track record of 18 months and a minimum fund AUM of $50mm. The constituents are fixed at the end each calendar year for the following calendar year"
iCRDLSC,PivotalPath Credit:Long/Short Index,"The PivotalPath Credit: Long/Short Hedge Fund Index is an equal weighted index which comprises funds that take long and short positions in credit instruments such as investment grade, high yield, convertible, or distressed debt to take advantage of opportunities in these asset classes. The Index tracks the monthly performance, net of fees in USD, of its constituents with a minimum fund track record of 18 months and a minimum fund AUM of $50mm. The constituents are fixed at the end each calendar year for the following calendar year"
iCRDMST,PivotalPath Credit:Multi-Strategy Index,"The PivotalPath Credit: Multi-Strategy is an equal weighted index which comprises funds that employ more than one investment strategy focused on opportunities across the credit spectrum. The Index tracks the monthly performance, net of fees in USD, of its constituents with a minimum fund track record of 18 months and a minimum fund AUM of $50mm. The constituents are fixed at the end each calendar year for the following calendar year."
iCRDREL,PivotalPath Credit:Relative Value Index,"The PivotalPath Credit: Relative Value Hedge Fund Index is an equal weighted index which comprises funds that aim to capture price differences in opportunities across the credit spectrum. The Index tracks the monthly performance, net of fees in USD, of its constituents with a minimum fund track record of 18 months and a minimum fund AUM of $50mm. The constituents are fixed at the end each calendar year for the following calendar year."
iCRDMBS,PivotalPath Credit:Structured & MBS Index,"The PivotalPath Credit: Structured & MBS Hedge Fund Index is an equal weighted index which comprises funds that focus on trading securities that are secured by a mortgage or a collection of mortgages as well as those that pool similar debt obligations and sell off the resulting cash flows. The Index tracks the monthly performance, net of fees in USD, of its constituents with a minimum fund track record of 18 months and a minimum fund AUM of $50mm. The constituents are fixed at the end each calendar year for the following calendar year."
iEQDALS,PivotalPath Equity Diversified:Asia Long/Short Index,"The PivotalPath Equity Diversified: Asia Long/Short Hedge Fund Index an equal weighted index which comprises funds that primarily invest long and short in equities in Asia. The Index tracks the monthly performance, net of fees in USD, of its constituents with a minimum fund track record of 18 months and a minimum fund AUM of $50mm. The constituents are fixed at the end each calendar year for the following calendar year."
iEQDALSFUN,PivotalPath Equity Diversified:Asia Long/Short:Fundamental Index,nan
iEQDELS,PivotalPath Equity Diversified:Europe Long/Short Index,"The PivotalPath Equity Diversified: Europe Long/Short Hedge Fund Index is an equal weighted index which comprises funds that primarily invest long and short in equities in Europe. The index tracks the monthly performance, net of fees in USD, of its constituents with a minimum fund track record of 18 months and a minimum fund AUM of $50mm. The constituents are fixed at the end each calendar year for the following calendar year."
iEQDELSACT,PivotalPath Equity Diversified:Europe Long/Short:Activist Index,nan
iEQDELSFUN,PivotalPath Equity Diversified:Europe Long/Short:Fundamental Index,nan
iEQDGLS,PivotalPath Equity Diversified:Global Long/Short Index,"The PivotalPath Equity Diversified: Global Long/Short Hedge Fund Index is an equal weighted index which comprises funds that primarily invest long and short in equities across all geographies. The Index tracks the monthly performance, net of fees in USD, of its constituents a minimum fund track record of 18 months and a minimum fund AUM of $50mm. The constituents are fixed at the end each calendar year for the following calendar year."
iEQDGLSFUN,PivotalPath Equity Diversified:Global Long/Short:Fundamental Index,nan
iEQDGLSQNT,PivotalPath Equity Diversified:Global Long/Short:Quantitative Index,nan
iEQDULS,PivotalPath Equity Diversified:U.S. Long/Short Index,"The PivotalPath Equity Diversified: U.S. Long/Short Hedge Fund Index is an equal weighted index which comprises funds that primarily invest long and short in equities in the United States. The Index tracks the monthly performance, net of fees in USD, of its constituents with a minimum fund track record of 18 months and a minimum fund AUM of $50mm. The constituents are fixed at the end each calendar year for the following calendar year."
iEQDULSACT,PivotalPath Equity Diversified:U.S. Long/Short:Activist Index,nan
iEQDULSFUN,PivotalPath Equity Diversified:U.S. Long/Short:Fundamental Index,nan
iEQDULSQNT,PivotalPath Equity Diversified:U.S. Long/Short:Quantitative Index,nan
iEMN,PivotalPath Equity Market Neutral Index,"The PivotalPath Equity Market Neutral Index is a global, equal-weighted index comprised of funds that have a (self-declared) low net exposure profile and recent performance to reflect that (3-year beta to S&P500 within the [-0.2,+0.2] range). This is a dynamic classification: while the index is rebalanced monthly, the constituents are determined on an annual frequency (at the end of each year).  The constituent funds report monthly performance, net of all fees, in USD. The Index is representative of hedge fund performance across all funds meeting the above criteria with a minimum fund track record of 18 months and a minimum fund AUM of $50mm."
iEQSCON,PivotalPath Equity Sector:Consumer / Retail Index,"The PivotalPath Equity Sector: Consumer/Retail Hedge Fund Index is an equal weighted index which comprises funds that primarily invest in the consumer and retail equity sector. The Index tracks the monthly performance, net of fees in USD, of its constituents with a minimum fund track record of 18 months and a minimum fund AUM of $50mm. The constituents are fixed at the end each calendar year for the following calendar year."
iEQSEUI,PivotalPath Equity Sector:Energy / Utilities / Industrials Index,"The PivotalPath Equity Sector: Energy/Utilities/Industrials Hedge Fund Index is an equal weighted index which comprises funds that primarily invest in the energy, utilities, and industrials equity sector. The Index tracks the monthly performance, net of fees in USD, of its constituents with a minimum fund track record of 18 months and a minimum fund AUM of $50mm. The constituents are fixed at the end each calendar year for the following calendar year"
iEQSFIN,PivotalPath Equity Sector:Financials Index,"The PivotalPath Equity Sector: Financials Hedge Fund Index is an equal weighted index which comprises funds that primarily invest in the financials equity sector. The Index tracks the monthly performance, net of fees in USD, of its constituents with a minimum fund track record of 18 months and a minimum fund AUM of $50mm. The constituents are fixed at the end each calendar year for the following calendar year."
iEQSHLT,PivotalPath Equity Sector:Healthcare Index,"The PivotalPath Equity Sector: Healthcare Hedge Fund Index is an equal weighted index which comprises funds that primarily invest across the healthcare equity sector. The Index tracks the monthly performance, net of fees in USD, of its constituents with a minimum fund track record of 18 months and a minimum fund AUM of $50mm. The constituents are fixed at the end each calendar year for the following calendar year"
iEQSREI,PivotalPath Equity Sector:Real Estate Index,"The PivotalPath Equity Sector: Real Estate Hedge Fund Index is an equal weighted index which comprises funds that primarily invest in the real estate equity sector. The Index tracks the monthly performance, net of fees in USD, of its constituents with a minimum fund track record of 18 months and a minimum fund AUM of $50mm. The constituents are fixed at the end each calendar year for the following calendar year."
iEQSTMT,PivotalPath Equity Sector:Technology / Media / Telecom Index,"The PivotalPath Equity Sector: Technology/Media/Telecom Hedge Fund Index is an equal weighted index which comprises funds that primarily invest in securities across the technology, media, and telecommunications equity sector. The Index tracks the monthly performance, net of fees in USD, of its constituents with a minimum fund track record of 18 months and a minimum fund AUM of $50mm. The constituents are fixed at the end each calendar year for the following calendar year."
iEVDESS,PivotalPath Event Driven:Equity Special Situations Index,"The PivotalPath Event Driven: Equity Special Situations Hedge Fund Index is an equal weighted index which comprises funds that target investments in securities based on “special situations” that most commonly arise out of corporate spin-offs, mergers & acquisitions, bankruptcy, distress, litigation, activism, or any other complex scenario that the market may not easily price. The Index tracks the monthly performance, net of fees in USD, of its constituents with a minimum fund track record of 18 months and a minimum fund AUM of $50mm. The constituents are fixed at the end each calendar year for the following calendar year."
iEVDMER,PivotalPath Event Driven:Merger Arbitrage Index,"The PivotalPath Event Driven: Merger Arbitrage Hedge Fund Index is an equal weighted index which comprises funds that typically purchase shares in one company and short sell the assets in another. The strategy is generally used in the expectation of a pending announcement of a company takeover, where the fund will take a long position in the target firm and a short position in the acquiring firm. The Index tracks the monthly performance, net of fees in USD, of its constituents with a minimum fund track record of 18 months and a minimum fund AUM of $50mm. The constituents are fixed at the end each calendar year for the following calendar year"
iEVDMEV,PivotalPath Event Driven:Multi-Event Index,"The PivotalPath Event Driven: Multi-Event Hedge Fund Index is an equal weighted index which comprises funds that specialize in investing across the spectrum of corporate events and special situations. The Index tracks the monthly performance, net of fees in USD, of its constituents with a minimum fund track record of 18 months and a minimum fund AUM of $50mm. The constituents are fixed at the end each calendar year for the following calendar year."
iGBMCOM,PivotalPath Global Macro:Commodities Index,"The PivotalPath Global Macro: Commodities Hedge Fund Index is an equal weighted index which comprises funds that have a commodity-focused approach to global macro investing. The Index tracks the monthly performance, net of fees in USD, of its constituents with a minimum fund track record of 18 months and a minimum fund AUM of $50mm. The constituents are fixed at the end each calendar year for the following calendar year."
iGBMDSC,PivotalPath Global Macro:Discretionary Index,"The PivotalPath Global Macro: Discretionary Hedge Fund Index is an equal weighted index which comprises funds that construct portfolios at the asset-class level based on a top-level view of the global markets. The Index tracks the monthly performance, net of fees in USD, of its constituents with a minimum fund track record of 18 months and a minimum fund AUM of $50mm. The constituents are fixed at the end each calendar year for the following calendar year"
iGBMMMA,PivotalPath Global Macro:Multi-Manager Index,"The PivotalPath Global Macro: Multi-Manager Hedge Fund Index is an equal weighted index which comprises funds that deploy capital across multiple portfolio managers to invest across major markets based on research of the global market environment. The Index tracks the monthly performance, net of fees in USD, of its constituents with a minimum fund track record of 18 months and a minimum fund AUM of $50mm. The constituents are fixed at the end each calendar year for the following calendar year."
iGBMQNT,PivotalPath Global Macro:Quantitative Index,"The PivotalPath Global Macro: Quantitative Hedge Fund Index is an equal weighted index which comprises funds that typically use a quantitative approach to systematically invest across multiple geographies and asset classes. The Index tracks the monthly performance, net of fees in USD, of its constituents with a minimum fund track record of 18 months and a minimum fund AUM of $50mm. The constituents are fixed at the end each calendar year for the following calendar year."
iGBMRPM,PivotalPath Global Macro:Risk Premia Index,"The PivotalPath Global Macro: Risk Premia Hedge Fund Index is an equal weighted index which comprises funds that target absolute returns through long and short positions across various factors and asset classes in the global market landscape. The Index tracks the monthly performance, net of fees in USD, of its constituents with a minimum fund track record of 18 months and a minimum fund AUM of $50mm. The constituents are fixed at the end each calendar year for the following calendar year."
iMFTNTF,PivotalPath Managed Futures:Non-Trend Index,"The PivotalPath Managed Futures: Non-Trend Index is an equal weighted index of funds that typically trade volatility, mean reversion and other non-trend strategies to determine whether to invest long or short in futures contracts across metals, grains, equity indices and soft commodities, as well as foreign currency and U.S. government bond futures. The Index tracks the monthly performance, net of fees in USD, of its constituents and is representative of funds with a minimum fund track record of 18 months and a minimum fund AUM of $50mm. The constituents are fixed at the end each calendar year for the following calendar year."
iMFTTFO,PivotalPath Managed Futures:Trend Following Index,"The PivotalPath Managed Futures: Trend Following Index is an equal weighted index of funds that typically forecast market trends and determine whether to invest long or short in futures contracts across metals, grains, equity indices and soft commodities, as well as foreign currency and U.S. government bond futures. The Index tracks the monthly performance, net of fees in USD, of its constituents and is representative of funds with a minimum fund track record of 18 months and a minimum fund AUM of $50mm. The constituents are fixed at the end each calendar year for the following calendar year."
iRVI,PivotalPath RV Index,"The PivotalPath RV Index is an equal-weighted index tracking over the following peer groups: Equity Market Neutral, Credit: Convertible Bond Arb, Credit: Fixed Income RV, Multi-Strategy, and Volatility Trading.  The constituent funds report monthly performance, net of all fees, in USD. The Index is representative of hedge fund performance across all strategies and geographies above for funds with a minimum fund track record of 18 months and a minimum fund AUM of $50mm. The constituents are fixed at the end each calendar year for the following calendar year."
