date,id,mtd
199801,iCRD,0.0085
199802,iCRD,0.0166
199803,iCRD,0.0223
199804,iCRD,0.0126
199805,iCRD,0.0051
199806,iCRD,0.0038
199807,iCRD,0.0021
199808,iCRD,-0.0599
199809,iCRD,-0.0114
199810,iCRD,-0.0001
199811,iCRD,0.0269
199812,iCRD,0.0112
199901,iCRD,0.0224
199902,iCRD,0.005
199903,iCRD,0.0123
199904,iCRD,0.027
199905,iCRD,0.0109
199906,iCRD,0.0126
199907,iCRD,0.0063
199908,iCRD,0.0055
199909,iCRD,0.0089
199910,iCRD,-0.0018
199911,iCRD,0.0141
199912,iCRD,0.025
200001,iCRD,0.016
200002,iCRD,0.0239
200003,iCRD,0.0091
200004,iCRD,0.0096
200005,iCRD,0.0086
200006,iCRD,0.0213
200007,iCRD,0.0105
200008,iCRD,0.0134
200009,iCRD,0.0114
200010,iCRD,0.005
200011,iCRD,-0.0034
200012,iCRD,-0.0007
200101,iCRD,0.0322
200102,iCRD,0.0119
200103,iCRD,0.0053
200104,iCRD,0.0102
200105,iCRD,0.0215
200106,iCRD,0.0068
200107,iCRD,0.0108
200108,iCRD,0.0127
200109,iCRD,-0.0129
200110,iCRD,0.0161
200111,iCRD,0.009
200112,iCRD,0.0139
200201,iCRD,0.0208
200202,iCRD,0.0045
200203,iCRD,0.0161
200204,iCRD,0.0142
200205,iCRD,0.0036
200206,iCRD,-0.0185
200207,iCRD,-0.029
200208,iCRD,0.01
200209,iCRD,0.002
200210,iCRD,-0.0012
200211,iCRD,0.0301
200212,iCRD,0.0176
200301,iCRD,0.0286
200302,iCRD,0.0097
200303,iCRD,0.0127
200304,iCRD,0.0316
200305,iCRD,0.0164
200306,iCRD,0.0243
200307,iCRD,0.006
200308,iCRD,0.0105
200309,iCRD,0.0187
200310,iCRD,0.0192
200311,iCRD,0.0103
200312,iCRD,0.018
200401,iCRD,0.022
200402,iCRD,0.0071
200403,iCRD,0.0028
200404,iCRD,0.0115
200405,iCRD,0.0022
200406,iCRD,0.0125
200407,iCRD,0.0043
200408,iCRD,0.0063
200409,iCRD,0.0076
200410,iCRD,0.0115
200411,iCRD,0.0246
200412,iCRD,0.0201
200501,iCRD,0.0043
200502,iCRD,0.0145
200503,iCRD,0.0025
200504,iCRD,-0.0039
200505,iCRD,0.0022
200506,iCRD,0.0128
200507,iCRD,0.0189
200508,iCRD,0.013
200509,iCRD,0.0138
200510,iCRD,-0.0016
200511,iCRD,0.0064
200512,iCRD,0.0162
200601,iCRD,0.0221
200602,iCRD,0.0059
200603,iCRD,0.0156
200604,iCRD,0.0127
200605,iCRD,0.0094
200606,iCRD,0.0003
200607,iCRD,0.0049
200608,iCRD,0.0076
200609,iCRD,0.0067
200610,iCRD,0.0157
200611,iCRD,0.0185
200612,iCRD,0.0176
200701,iCRD,0.0163
200702,iCRD,0.0196
200703,iCRD,0.011
200704,iCRD,0.0125
200705,iCRD,0.0147
200706,iCRD,0.0107
200707,iCRD,0.0097
200708,iCRD,-0.005
200709,iCRD,0.0104
200710,iCRD,0.0175
200711,iCRD,-0.004
200712,iCRD,-0.0007
200801,iCRD,0.0001
200802,iCRD,0.007
200803,iCRD,-0.0198
200804,iCRD,0.0124
200805,iCRD,0.0117
200806,iCRD,-0.0006
200807,iCRD,-0.0145
200808,iCRD,-0.0025
200809,iCRD,-0.0519
200810,iCRD,-0.0681
200811,iCRD,-0.0337
200812,iCRD,-0.0165
200901,iCRD,0.0257
200902,iCRD,0.0068
200903,iCRD,0.0052
200904,iCRD,0.0351
200905,iCRD,0.0554
200906,iCRD,0.0322
200907,iCRD,0.0388
200908,iCRD,0.0326
200909,iCRD,0.0391
200910,iCRD,0.0225
200911,iCRD,0.0141
200912,iCRD,0.0211
201001,iCRD,0.0259
201002,iCRD,0.0057
201003,iCRD,0.0235
201004,iCRD,0.0216
201005,iCRD,-0.0113
201006,iCRD,0.0029
201007,iCRD,0.0112
201008,iCRD,0.0087
201009,iCRD,0.0188
201010,iCRD,0.017
201011,iCRD,0.0082
201012,iCRD,0.0155
201101,iCRD,0.022
201102,iCRD,0.0142
201103,iCRD,0.0039
201104,iCRD,0.0094
201105,iCRD,0.0019
201106,iCRD,-0.0067
201107,iCRD,0.0027
201108,iCRD,-0.0246
201109,iCRD,-0.0196
201110,iCRD,0.0099
201111,iCRD,-0.0029
201112,iCRD,0.004
201201,iCRD,0.0216
201202,iCRD,0.0169
201203,iCRD,0.0108
201204,iCRD,0.0063
201205,iCRD,-0.0039
201206,iCRD,0.005
201207,iCRD,0.013
201208,iCRD,0.0131
201209,iCRD,0.016
201210,iCRD,0.0117
201211,iCRD,0.0062
201212,iCRD,0.0146
201301,iCRD,0.0228
201302,iCRD,0.0077
201303,iCRD,0.0131
201304,iCRD,0.0137
201305,iCRD,0.0145
201306,iCRD,-0.0106
201307,iCRD,0.0106
201308,iCRD,0.0043
201309,iCRD,0.0098
201310,iCRD,0.0142
201311,iCRD,0.009
201312,iCRD,0.0099
201401,iCRD,0.0128
201402,iCRD,0.0137
201403,iCRD,0.0066
201404,iCRD,0.0057
201405,iCRD,0.0078
201406,iCRD,0.0107
201407,iCRD,0.0019
201408,iCRD,0.0008
201409,iCRD,-0.0036
201410,iCRD,-0.0075
201411,iCRD,0.0021
201412,iCRD,-0.004
201501,iCRD,-0.0007
201502,iCRD,0.0126
201503,iCRD,0.0048
201504,iCRD,0.0092
201505,iCRD,0.0054
201506,iCRD,-0.0074
201507,iCRD,-0.0012
201508,iCRD,-0.0095
201509,iCRD,-0.0105
201510,iCRD,0.001
201511,iCRD,-0.0058
201512,iCRD,-0.0108
201601,iCRD,-0.0159
201602,iCRD,-0.0127
201603,iCRD,0.0155
201604,iCRD,0.02
201605,iCRD,0.0123
201606,iCRD,0.0013
201607,iCRD,0.0161
201608,iCRD,0.0139
201609,iCRD,0.0094
201610,iCRD,0.0112
201611,iCRD,0.008
201612,iCRD,0.0146
201701,iCRD,0.0161
201702,iCRD,0.0093
201703,iCRD,0.0005
201704,iCRD,0.0058
201705,iCRD,0.0038
201706,iCRD,0.0037
201707,iCRD,0.009
201708,iCRD,0.0034
201709,iCRD,0.0066
201710,iCRD,0.0052
201711,iCRD,0.0027
201712,iCRD,0.0088
201801,iCRD,0.0129
201802,iCRD,0.001
201803,iCRD,-0.0003
201804,iCRD,0.0058
201805,iCRD,0.0053
201806,iCRD,0.0031
201807,iCRD,0.007
201808,iCRD,0.0019
201809,iCRD,0.0041
201810,iCRD,-0.0046
201811,iCRD,-0.0102
201812,iCRD,-0.0144
201901,iCRD,0.0156
201902,iCRD,0.007
201903,iCRD,0.0018
201904,iCRD,0.0104
201905,iCRD,0.0025
201906,iCRD,0.0033
201907,iCRD,0.0007
201908,iCRD,-0.0101
201909,iCRD,0.0
201910,iCRD,-0.0028
201911,iCRD,-0.0014
201912,iCRD,0.0158
202001,iCRD,0.0074
202002,iCRD,-0.0043
202003,iCRD,-0.1173
202004,iCRD,0.0193
202005,iCRD,0.0297
202006,iCRD,0.0297
202007,iCRD,0.0146
202008,iCRD,0.0166
202009,iCRD,0.0067
202010,iCRD,0.0014
202011,iCRD,0.0342
202012,iCRD,0.0241
202101,iCRD,0.0203
202102,iCRD,0.0181
202103,iCRD,0.0099
202104,iCRD,0.0133
202105,iCRD,0.01
202106,iCRD,0.0061
202107,iCRD,0.0006
202108,iCRD,0.0064
202109,iCRD,0.0091
202110,iCRD,0.0041
202111,iCRD,-0.0022
202112,iCRD,0.0073
202201,iCRD,0.0025
202202,iCRD,0.003
202203,iCRD,0.0082
202204,iCRD,0.0015
202205,iCRD,-0.0094
202206,iCRD,-0.022
202207,iCRD,0.0098
202208,iCRD,0.0126
202209,iCRD,-0.0133
202210,iCRD,0.0017
202211,iCRD,0.0072
202212,iCRD,0.0033
202301,iCRD,0.02
202302,iCRD,0.0047
202303,iCRD,-0.0076
202304,iCRD,0.0048
202305,iCRD,0.0028
202306,iCRD,0.0109
202307,iCRD,0.0103
202308,iCRD,0.0061
202309,iCRD,0.0056
202310,iCRD,-0.0017
202311,iCRD,0.0119
202312,iCRD,0.0141
202401,iCRD,0.01
202402,iCRD,0.0082
202403,iCRD,0.0121
202404,iCRD,0.0036
202405,iCRD,0.0101
202406,iCRD,0.0051
202407,iCRD,0.0104
202408,iCRD,0.0063
202409,iCRD,0.0118
202410,iCRD,0.0063
202411,iCRD,0.0111
202412,iCRD,0.0063
202501,iCRD,0.0107
202502,iCRD,0.0068
202503,iCRD,-0.0024
202504,iCRD,-0.0006
202505,iCRD,0.0139
202506,iCRD,0.0107
202507,iCRD,0.0079
202508,iCRD,0.0083
202509,iCRD,0.0085
202510,iCRD,0.0055
202511,iCRD,0.0007
202512,iCRD,0.0053
202601,iCRD,0.0104
202602,iCRD,0.0027
202603,iCRD,-0.0045
202604,iCRD,0.0163
199801,iCRDCBA,0.0106
199802,iCRDCBA,0.0096
199803,iCRDCBA,0.0121
199804,iCRDCBA,0.0133
199805,iCRDCBA,0.007
199806,iCRDCBA,0.0028
199807,iCRDCBA,0.0023
199808,iCRDCBA,0.0032
199809,iCRDCBA,0.0021
199810,iCRDCBA,0.0052
199811,iCRDCBA,0.0114
199812,iCRDCBA,0.0111
199901,iCRDCBA,0.0087
199902,iCRDCBA,0.0063
199903,iCRDCBA,0.0075
199904,iCRDCBA,0.0155
199905,iCRDCBA,0.0096
199906,iCRDCBA,0.0071
199907,iCRDCBA,0.0071
199908,iCRDCBA,0.0026
199909,iCRDCBA,0.0126
199910,iCRDCBA,0.011
199911,iCRDCBA,0.0116
199912,iCRDCBA,0.0204
200001,iCRDCBA,0.014
200002,iCRDCBA,0.0158
200003,iCRDCBA,0.0166
200004,iCRDCBA,0.0286
200005,iCRDCBA,0.018
