id,quarter,months,partial,qtd_return,as_of
iCRD,2000Q1,3,0,0.049749,2026-07
iCRD,2000Q2,3,0,0.039972,2026-07
iCRD,2000Q3,3,0,0.035715,2026-07
iCRD,2000Q4,3,0,0.000882,2026-07
iCRD,2001Q1,3,0,0.050019,2026-07
iCRD,2001Q2,3,0,0.038936,2026-07
iCRD,2001Q3,3,0,0.010432,2026-07
iCRD,2001Q4,3,0,0.039496,2026-07
iCRD,2002Q1,3,0,0.041902,2026-07
iCRD,2002Q2,3,0,-0.000979,2026-07
iCRD,2002Q3,3,0,-0.017329,2026-07
iCRD,2002Q4,3,0,0.046972,2026-07
iCRD,2003Q1,3,0,0.051767,2026-07
iCRD,2003Q2,3,0,0.073997,2026-07
iCRD,2003Q3,3,0,0.035573,2026-07
iCRD,2003Q4,3,0,0.048232,2026-07
iCRD,2004Q1,3,0,0.032138,2026-07
iCRD,2004Q2,3,0,0.026397,2026-07
iCRD,2004Q3,3,0,0.018308,2026-07
iCRD,2004Q4,3,0,0.057214,2026-07
iCRD,2005Q1,3,0,0.02141,2026-07
iCRD,2005Q2,3,0,0.01107,2026-07
iCRD,2005Q3,3,0,0.046389,2026-07
iCRD,2005Q4,3,0,0.021067,2026-07
iCRD,2006Q1,3,0,0.044169,2026-07
iCRD,2006Q2,3,0,0.022526,2026-07
iCRD,2006Q3,3,0,0.019321,2026-07
iCRD,2006Q4,3,0,0.052697,2026-07
iCRD,2007Q1,3,0,0.047618,2026-07
iCRD,2007Q2,3,0,0.038377,2026-07
iCRD,2007Q3,3,0,0.0151,2026-07
iCRD,2007Q4,3,0,0.012721,2026-07
iCRD,2008Q1,3,0,-0.01284,2026-07
iCRD,2008Q2,3,0,0.023631,2026-07
iCRD,2008Q3,3,0,-0.067983,2026-07
iCRD,2008Q4,3,0,-0.114363,2026-07
iCRD,2009Q1,3,0,0.038045,2026-07
iCRD,2009Q2,3,0,0.127621,2026-07
iCRD,2009Q3,3,0,0.114606,2026-07
iCRD,2009Q4,3,0,0.058796,2026-07
iCRD,2010Q1,3,0,0.055994,2026-07
iCRD,2010Q2,3,0,0.012985,2026-07
iCRD,2010Q3,3,0,0.039173,2026-07
iCRD,2010Q4,3,0,0.041232,2026-07
iCRD,2011Q1,3,0,0.040555,2026-07
iCRD,2011Q2,3,0,0.004542,2026-07
iCRD,2011Q3,3,0,-0.041136,2026-07
iCRD,2011Q4,3,0,0.010999,2026-07
iCRD,2012Q1,3,0,0.050085,2026-07
iCRD,2012Q2,3,0,0.007387,2026-07
iCRD,2012Q3,3,0,0.042691,2026-07
iCRD,2012Q4,3,0,0.032835,2026-07
iCRD,2013Q1,3,0,0.044177,2026-07
iCRD,2013Q2,3,0,0.017498,2026-07
iCRD,2013Q3,3,0,0.024892,2026-07
iCRD,2013Q4,3,0,0.033459,2026-07
iCRD,2014Q1,3,0,0.033451,2026-07
iCRD,2014Q2,3,0,0.024389,2026-07
iCRD,2014Q3,3,0,-0.000908,2026-07
iCRD,2014Q4,3,0,-0.009394,2026-07
iCRD,2015Q1,3,0,0.016748,2026-07
iCRD,2015Q2,3,0,0.007141,2026-07
iCRD,2015Q3,3,0,-0.021076,2026-07
iCRD,2015Q4,3,0,-0.015554,2026-07
iCRD,2016Q1,3,0,-0.013338,2026-07
iCRD,2016Q2,3,0,0.033888,2026-07
iCRD,2016Q3,3,0,0.039908,2026-07
iCRD,2016Q4,3,0,0.034171,2026-07
iCRD,2017Q1,3,0,0.026063,2026-07
iCRD,2017Q2,3,0,0.013358,2026-07
iCRD,2017Q3,3,0,0.019113,2026-07
iCRD,2017Q4,3,0,0.016784,2026-07
iCRD,2018Q1,3,0,0.013609,2026-07
iCRD,2018Q2,3,0,0.014265,2026-07
iCRD,2018Q3,3,0,0.01305,2026-07
iCRD,2018Q4,3,0,-0.028941,2026-07
iCRD,2019Q1,3,0,0.02455,2026-07
iCRD,2019Q2,3,0,0.016269,2026-07
iCRD,2019Q3,3,0,-0.009407,2026-07
iCRD,2019Q4,3,0,0.011538,2026-07
iCRD,2020Q1,3,0,-0.114592,2026-07
iCRD,2020Q2,3,0,0.080746,2026-07
iCRD,2020Q3,3,0,0.038353,2026-07
iCRD,2020Q4,3,0,0.060607,2026-07
iCRD,2021Q1,3,0,0.049051,2026-07
iCRD,2021Q2,3,0,0.029676,2026-07
iCRD,2021Q3,3,0,0.016168,2026-07
iCRD,2021Q4,3,0,0.009205,2026-07
iCRD,2022Q1,3,0,0.013753,2026-07
iCRD,2022Q2,3,0,-0.02974,2026-07
iCRD,2022Q3,3,0,0.008924,2026-07
iCRD,2022Q4,3,0,0.012242,2026-07
iCRD,2023Q1,3,0,0.017006,2026-07
iCRD,2023Q2,3,0,0.018596,2026-07
iCRD,2023Q3,3,0,0.022155,2026-07
iCRD,2023Q4,3,0,0.024423,2026-07
iCRD,2024Q1,3,0,0.030603,2026-07
iCRD,2024Q2,3,0,0.018906,2026-07
iCRD,2024Q3,3,0,0.028763,2026-07
iCRD,2024Q4,3,0,0.02388,2026-07
iCRD,2025Q1,3,0,0.015131,2026-07
iCRD,2025Q2,3,0,0.024134,2026-07
iCRD,2025Q3,3,0,0.024904,2026-07
iCRD,2025Q4,3,0,0.011637,2026-07
iCRD,2026Q1,3,0,0.007156,2026-07
iCRD,2026Q2,3,0,0.027523,2026-07
iCRD,2026Q3,1,1,0.0005,2026-07
iCRDCBA,2000Q1,3,0,0.04712,2026-07
iCRDCBA,2000Q2,3,0,0.063869,2026-07
iCRDCBA,2000Q3,3,0,0.047203,2026-07
iCRDCBA,2000Q4,3,0,0.061623,2026-07
iCRDCBA,2001Q1,3,0,0.062664,2026-07
iCRDCBA,2001Q2,3,0,0.037196,2026-07
iCRDCBA,2001Q3,3,0,0.044409,2026-07
iCRDCBA,2001Q4,3,0,0.017691,2026-07
iCRDCBA,2002Q1,3,0,0.023773,2026-07
iCRDCBA,2002Q2,3,0,0.015501,2026-07
iCRDCBA,2002Q3,3,0,0.014236,2026-07
iCRDCBA,2002Q4,3,0,0.049253,2026-07
iCRDCBA,2003Q1,3,0,0.030248,2026-07
iCRDCBA,2003Q2,3,0,0.011836,2026-07
iCRDCBA,2003Q3,3,0,0.008215,2026-07
iCRDCBA,2003Q4,3,0,0.008918,2026-07
iCRDCBA,2004Q1,3,0,0.028228,2026-07
iCRDCBA,2004Q2,3,0,-0.024601,2026-07
iCRDCBA,2004Q3,3,0,-0.021578,2026-07
iCRDCBA,2004Q4,3,0,-0.000114,2026-07
iCRDCBA,2005Q1,3,0,0.003472,2026-07
iCRDCBA,2005Q2,3,0,-0.021553,2026-07
iCRDCBA,2005Q3,3,0,0.048971,2026-07
iCRDCBA,2005Q4,3,0,0.062946,2026-07
iCRDCBA,2006Q1,3,0,0.066913,2026-07
iCRDCBA,2006Q2,3,0,0.020009,2026-07
iCRDCBA,2006Q3,3,0,0.026002,2026-07
iCRDCBA,2006Q4,3,0,0.034176,2026-07
iCRDCBA,2007Q1,3,0,0.045746,2026-07
iCRDCBA,2007Q2,3,0,0.030408,2026-07
iCRDCBA,2007Q3,3,0,0.008255,2026-07
iCRDCBA,2007Q4,3,0,0.028471,2026-07
iCRDCBA,2008Q1,3,0,-0.008575,2026-07
iCRDCBA,2008Q2,3,0,0.007754,2026-07
iCRDCBA,2008Q3,3,0,-0.103561,2026-07
iCRDCBA,2008Q4,3,0,-0.070796,2026-07
iCRDCBA,2009Q1,3,0,0.093224,2026-07
iCRDCBA,2009Q2,3,0,0.149495,2026-07
iCRDCBA,2009Q3,3,0,0.152152,2026-07
iCRDCBA,2009Q4,3,0,0.038094,2026-07
iCRDCBA,2010Q1,3,0,0.056953,2026-07
iCRDCBA,2010Q2,3,0,-0.004672,2026-07
iCRDCBA,2010Q3,3,0,0.043478,2026-07
iCRDCBA,2010Q4,3,0,0.039207,2026-07
iCRDCBA,2011Q1,3,0,0.035936,2026-07
iCRDCBA,2011Q2,3,0,-0.010367,2026-07
iCRDCBA,2011Q3,3,0,-0.051107,2026-07
iCRDCBA,2011Q4,3,0,0.006831,2026-07
iCRDCBA,2012Q1,3,0,0.046988,2026-07
iCRDCBA,2012Q2,3,0,-0.017511,2026-07
iCRDCBA,2012Q3,3,0,0.014462,2026-07
iCRDCBA,2012Q4,3,0,0.017951,2026-07
iCRDCBA,2013Q1,3,0,0.048136,2026-07
iCRDCBA,2013Q2,3,0,0.020335,2026-07
iCRDCBA,2013Q3,3,0,0.029949,2026-07
iCRDCBA,2013Q4,3,0,0.026907,2026-07
iCRDCBA,2014Q1,3,0,0.035377,2026-07
iCRDCBA,2014Q2,3,0,0.028858,2026-07
iCRDCBA,2014Q3,3,0,-0.011578,2026-07
iCRDCBA,2014Q4,3,0,0.006878,2026-07
iCRDCBA,2015Q1,3,0,0.02615,2026-07
iCRDCBA,2015Q2,3,0,0.014413,2026-07
iCRDCBA,2015Q3,3,0,-0.035136,2026-07
iCRDCBA,2015Q4,3,0,0.020254,2026-07
iCRDCBA,2016Q1,3,0,-0.001945,2026-07
iCRDCBA,2016Q2,3,0,0.015637,2026-07
iCRDCBA,2016Q3,3,0,0.050992,2026-07
iCRDCBA,2016Q4,3,0,0.024692,2026-07
iCRDCBA,2017Q1,3,0,0.025901,2026-07
iCRDCBA,2017Q2,3,0,0.019908,2026-07
iCRDCBA,2017Q3,3,0,0.012928,2026-07
iCRDCBA,2017Q4,3,0,0.022554,2026-07
iCRDCBA,2018Q1,3,0,0.009288,2026-07
iCRDCBA,2018Q2,3,0,-0.007418,2026-07
iCRDCBA,2018Q3,3,0,0.001576,2026-07
iCRDCBA,2018Q4,3,0,-0.025178,2026-07
iCRDCBA,2019Q1,3,0,0.043237,2026-07
iCRDCBA,2019Q2,3,0,0.018062,2026-07
iCRDCBA,2019Q3,3,0,0.010015,2026-07
iCRDCBA,2019Q4,3,0,0.019486,2026-07
iCRDCBA,2020Q1,3,0,-0.035506,2026-07
iCRDCBA,2020Q2,3,0,0.08424,2026-07
iCRDCBA,2020Q3,3,0,0.081824,2026-07
iCRDCBA,2020Q4,3,0,0.084114,2026-07
iCRDCBA,2021Q1,3,0,0.058642,2026-07
iCRDCBA,2021Q2,3,0,0.007309,2026-07
iCRDCBA,2021Q3,3,0,0.009242,2026-07
iCRDCBA,2021Q4,3,0,0.014103,2026-07
iCRDCBA,2022Q1,3,0,-0.003997,2026-07
iCRDCBA,2022Q2,3,0,-0.034283,2026-07
iCRDCBA,2022Q3,3,0,0.009169,2026-07
iCRDCBA,2022Q4,3,0,0.020927,2026-07
iCRDCBA,2023Q1,3,0,0.027215,2026-07
iCRDCBA,2023Q2,3,0,0.019113,2026-07
iCRDCBA,2023Q3,3,0,0.019504,2026-07
iCRDCBA,2023Q4,3,0,0.01516,2026-07
iCRDCBA,2024Q1,3,0,0.035987,2026-07
iCRDCBA,2024Q2,3,0,0.018512,2026-07
iCRDCBA,2024Q3,3,0,0.038567,2026-07
iCRDCBA,2024Q4,3,0,0.02989,2026-07
iCRDCBA,2025Q1,3,0,0.033104,2026-07
iCRDCBA,2025Q2,3,0,0.012647,2026-07
iCRDCBA,2025Q3,3,0,0.048761,2026-07
iCRDCBA,2025Q4,3,0,0.020791,2026-07
iCRDCBA,2026Q1,3,0,0.014581,2026-07
iCRDCBA,2026Q2,3,0,0.049141,2026-07
iCRDCBA,2026Q3,1,1,-0.0002,2026-07
iCRDDSS,2000Q1,3,0,0.009689,2026-07
iCRDDSS,2000Q2,3,0,-0.004232,2026-07
iCRDDSS,2000Q3,3,0,0.005187,2026-07
iCRDDSS,2000Q4,3,0,-0.034563,2026-07
iCRDDSS,2001Q1,3,0,0.092151,2026-07
iCRDDSS,2001Q2,3,0,0.068064,2026-07
iCRDDSS,2001Q3,3,0,-0.001593,2026-07
iCRDDSS,2001Q4,3,0,0.052491,2026-07
iCRDDSS,2002Q1,3,0,0.03581,2026-07
iCRDDSS,2002Q2,3,0,0.005883,2026-07
iCRDDSS,2002Q3,3,0,-0.049412,2026-07
iCRDDSS,2002Q4,3,0,0.035746,2026-07
iCRDDSS,2003Q1,3,0,0.042685,2026-07
iCRDDSS,2003Q2,3,0,0.134042,2026-07
iCRDDSS,2003Q3,3,0,0.066668,2026-07
iCRDDSS,2003Q4,3,0,0.080136,2026-07
iCRDDSS,2004Q1,3,0,0.043147,2026-07
iCRDDSS,2004Q2,3,0,0.03138,2026-07
iCRDDSS,2004Q3,3,0,0.02345,2026-07
iCRDDSS,2004Q4,3,0,0.078748,2026-07
iCRDDSS,2005Q1,3,0,0.02546,2026-07
iCRDDSS,2005Q2,3,0,0.020135,2026-07
iCRDDSS,2005Q3,3,0,0.058191,2026-07
iCRDDSS,2005Q4,3,0,0.03578,2026-07
iCRDDSS,2006Q1,3,0,0.056536,2026-07
iCRDDSS,2006Q2,3,0,0.030558,2026-07
iCRDDSS,2006Q3,3,0,0.01638,2026-07
iCRDDSS,2006Q4,3,0,0.058811,2026-07
iCRDDSS,2007Q1,3,0,0.045221,2026-07
iCRDDSS,2007Q2,3,0,0.035701,2026-07
iCRDDSS,2007Q3,3,0,-0.007014,2026-07
iCRDDSS,2007Q4,3,0,-0.001238,2026-07
iCRDDSS,2008Q1,3,0,-0.023016,2026-07
iCRDDSS,2008Q2,3,0,0.005555,2026-07
iCRDDSS,2008Q3,3,0,-0.078724,2026-07
iCRDDSS,2008Q4,3,0,-0.154584,2026-07
iCRDDSS,2009Q1,3,0,0.005842,2026-07
iCRDDSS,2009Q2,3,0,0.149752,2026-07
iCRDDSS,2009Q3,3,0,0.144917,2026-07
iCRDDSS,2009Q4,3,0,0.085163,2026-07
iCRDDSS,2010Q1,3,0,0.076635,2026-07
iCRDDSS,2010Q2,3,0,-0.000455,2026-07
iCRDDSS,2010Q3,3,0,0.030141,2026-07
iCRDDSS,2010Q4,3,0,0.050228,2026-07
iCRDDSS,2011Q1,3,0,0.049175,2026-07
iCRDDSS,2011Q2,3,0,-0.0019,2026-07
iCRDDSS,2011Q3,3,0,-0.079281,2026-07
iCRDDSS,2011Q4,3,0,0.006626,2026-07
iCRDDSS,2012Q1,3,0,0.062707,2026-07
iCRDDSS,2012Q2,3,0,-0.002118,2026-07
iCRDDSS,2012Q3,3,0,0.042378,2026-07
iCRDDSS,2012Q4,3,0,0.040157,2026-07
iCRDDSS,2013Q1,3,0,0.049835,2026-07
iCRDDSS,2013Q2,3,0,0.023806,2026-07
iCRDDSS,2013Q3,3,0,0.026393,2026-07
iCRDDSS,2013Q4,3,0,0.044843,2026-07
iCRDDSS,2014Q1,3,0,0.041396,2026-07
iCRDDSS,2014Q2,3,0,0.031913,2026-07
iCRDDSS,2014Q3,3,0,-0.016691,2026-07
iCRDDSS,2014Q4,3,0,-0.034199,2026-07
iCRDDSS,2015Q1,3,0,0.001931,2026-07
iCRDDSS,2015Q2,3,0,-0.001387,2026-07
iCRDDSS,2015Q3,3,0,-0.040871,2026-07
iCRDDSS,2015Q4,3,0,-0.034543,2026-07
iCRDDSS,2016Q1,3,0,-0.016691,2026-07
iCRDDSS,2016Q2,3,0,0.05689,2026-07
iCRDDSS,2016Q3,3,0,0.057526,2026-07
iCRDDSS,2016Q4,3,0,0.048726,2026-07
iCRDDSS,2017Q1,3,0,0.018763,2026-07
iCRDDSS,2017Q2,3,0,0.008813,2026-07
iCRDDSS,2017Q3,3,0,0.021119,2026-07
iCRDDSS,2017Q4,3,0,0.020137,2026-07
iCRDDSS,2018Q1,3,0,0.010413,2026-07
iCRDDSS,2018Q2,3,0,0.017796,2026-07
iCRDDSS,2018Q3,3,0,0.015111,2026-07
iCRDDSS,2018Q4,3,0,-0.05221,2026-07
iCRDDSS,2019Q1,3,0,0.024356,2026-07
iCRDDSS,2019Q2,3,0,0.019004,2026-07
iCRDDSS,2019Q3,3,0,-0.029902,2026-07
iCRDDSS,2019Q4,3,0,0.004876,2026-07
iCRDDSS,2020Q1,3,0,-0.123817,2026-07
iCRDDSS,2020Q2,3,0,0.079672,2026-07
iCRDDSS,2020Q3,3,0,0.030172,2026-07
iCRDDSS,2020Q4,3,0,0.074173,2026-07
iCRDDSS,2021Q1,3,0,0.059303,2026-07
iCRDDSS,2021Q2,3,0,0.05447,2026-07
iCRDDSS,2021Q3,3,0,0.027623,2026-07
iCRDDSS,2021Q4,3,0,0.018368,2026-07
iCRDDSS,2022Q1,3,0,0.018266,2026-07
iCRDDSS,2022Q2,3,0,-0.051603,2026-07
iCRDDSS,2022Q3,3,0,-0.00676,2026-07
iCRDDSS,2022Q4,3,0,0.014145,2026-07
iCRDDSS,2023Q1,3,0,0.008483,2026-07
iCRDDSS,2023Q2,3,0,0.025133,2026-07
iCRDDSS,2023Q3,3,0,0.013098,2026-07
iCRDDSS,2023Q4,3,0,0.028853,2026-07
iCRDDSS,2024Q1,3,0,0.041021,2026-07
iCRDDSS,2024Q2,3,0,0.020721,2026-07
iCRDDSS,2024Q3,3,0,0.03878,2026-07
iCRDDSS,2024Q4,3,0,0.034586,2026-07
iCRDDSS,2025Q1,3,0,-0.006294,2026-07
iCRDDSS,2025Q2,3,0,0.020963,2026-07
iCRDDSS,2025Q3,3,0,0.045264,2026-07
iCRDDSS,2025Q4,3,0,0.025065,2026-07
iCRDDSS,2026Q1,3,0,0.002675,2026-07
iCRDDSS,2026Q2,3,0,0.025024,2026-07
iCRDDSS,2026Q3,1,1,-0.0013,2026-07
iCRDLSC,2004Q1,3,0,0.028853,2026-07
iCRDLSC,2004Q2,3,0,0.036764,2026-07
iCRDLSC,2004Q3,3,0,0.049079,2026-07
iCRDLSC,2004Q4,3,0,0.061487,2026-07
iCRDLSC,2005Q1,3,0,0.017673,2026-07
iCRDLSC,2005Q2,3,0,0.010631,2026-07
iCRDLSC,2005Q3,3,0,0.024666,2026-07
iCRDLSC,2005Q4,3,0,0.01102,2026-07
iCRDLSC,2006Q1,3,0,0.039705,2026-07
iCRDLSC,2006Q2,3,0,0.021589,2026-07
iCRDLSC,2006Q3,3,0,0.023072,2026-07
iCRDLSC,2006Q4,3,0,0.035922,2026-07
iCRDLSC,2007Q1,3,0,0.038144,2026-07
iCRDLSC,2007Q2,3,0,0.02449,2026-07
iCRDLSC,2007Q3,3,0,0.004136,2026-07
iCRDLSC,2007Q4,3,0,-4.5e-05,2026-07
iCRDLSC,2008Q1,3,0,-0.030806,2026-07
iCRDLSC,2008Q2,3,0,0.040722,2026-07
iCRDLSC,2008Q3,3,0,-0.051513,2026-07
iCRDLSC,2008Q4,3,0,-0.199679,2026-07
iCRDLSC,2009Q1,3,0,0.053322,2026-07
iCRDLSC,2009Q2,3,0,0.150681,2026-07
iCRDLSC,2009Q3,3,0,0.150586,2026-07
iCRDLSC,2009Q4,3,0,0.070769,2026-07
iCRDLSC,2010Q1,3,0,0.062361,2026-07
iCRDLSC,2010Q2,3,0,0.015372,2026-07
iCRDLSC,2010Q3,3,0,0.031823,2026-07
iCRDLSC,2010Q4,3,0,0.029112,2026-07
iCRDLSC,2011Q1,3,0,0.032397,2026-07
iCRDLSC,2011Q2,3,0,0.007594,2026-07
iCRDLSC,2011Q3,3,0,-0.032113,2026-07
iCRDLSC,2011Q4,3,0,0.012197,2026-07
iCRDLSC,2012Q1,3,0,0.047515,2026-07
iCRDLSC,2012Q2,3,0,0.007299,2026-07
iCRDLSC,2012Q3,3,0,0.02592,2026-07
iCRDLSC,2012Q4,3,0,0.028974,2026-07
iCRDLSC,2013Q1,3,0,0.03078,2026-07
iCRDLSC,2013Q2,3,0,0.009702,2026-07
iCRDLSC,2013Q3,3,0,0.022854,2026-07
iCRDLSC,2013Q4,3,0,0.027332,2026-07
iCRDLSC,2014Q1,3,0,0.025406,2026-07
iCRDLSC,2014Q2,3,0,0.02074,2026-07
iCRDLSC,2014Q3,3,0,-0.006014,2026-07
iCRDLSC,2014Q4,3,0,-0.018395,2026-07
iCRDLSC,2015Q1,3,0,0.017965,2026-07
iCRDLSC,2015Q2,3,0,0.005477,2026-07
iCRDLSC,2015Q3,3,0,-0.018888,2026-07
iCRDLSC,2015Q4,3,0,-0.017135,2026-07
iCRDLSC,2016Q1,3,0,-0.001231,2026-07
iCRDLSC,2016Q2,3,0,0.031432,2026-07
iCRDLSC,2016Q3,3,0,0.027338,2026-07
iCRDLSC,2016Q4,3,0,0.019874,2026-07
iCRDLSC,2017Q1,3,0,0.018283,2026-07
iCRDLSC,2017Q2,3,0,0.016574,2026-07
iCRDLSC,2017Q3,3,0,0.016268,2026-07
iCRDLSC,2017Q4,3,0,0.016783,2026-07
iCRDLSC,2018Q1,3,0,0.014731,2026-07
iCRDLSC,2018Q2,3,0,0.018095,2026-07
iCRDLSC,2018Q3,3,0,0.007818,2026-07
iCRDLSC,2018Q4,3,0,-0.028831,2026-07
